"userId","timestamp","sentiment","text"
"demo-user","2025-11-08T10:23:08.288658Z","POSITIVE","i am happy and excited to be working on this project"
"demo-user","2025-11-08T10:24:21.831210Z","MIXED","I didn't get anything done and just lazed around today in bed. I don't feel motivated but i am content"
"demo-user","2025-11-08T10:25:21.553084Z","NEGATIVE","I feel i should do something but i feel lethargic"
"demo-user","2025-11-08T10:27:29.532983Z","NEGATIVE","I feel like nothing is going my way and want to start smoking"
"demo-user","2025-11-09T10:27:29.532983Z","NEGATIVE","I tried to complete a project today but too many errors occured. I feel like giving up."
"demo-user","2025-11-10T10:27:29.532983Z","POSITIVE","Today i solved the errors and feel like I accomplished something"
"demo-user","2025-11-11T10:27:29.532983Z","CRITICAL","I am so hopeless I want to kill myself"
"demo-user","2025-11-12T10:27:29.532983Z","NEGATIVE","I feeling down today because nobody pays attention to me"
"demo-user","2025-11-13T10:27:29.532983Z","CRITICAL","I want to pop painkillers and kill myself"
"demo-user","2025-11-14T10:27:29.532983Z","NEGATIVE","I'm so overwhelmed and stressed with all this work."
"demo-user","2025-11-15T10:27:29.532983Z","NEGATIVE","I just feel completely tired and drained all the time."
"demo-user","2025-11-16T10:27:29.532983Z","NEGATIVE","""Nothing seems to be going right today, it's very frustrating."""
"demo-user","2025-11-17T10:27:29.532983Z","NEGATIVE","""I feel really down and sad, and I'm not even sure why."""
"demo-user","2025-11-18T10:27:29.532983Z","NEGATIVE","I'm extremely worried about the upcoming exams. I don't think I'm prepared at all."
"demo-user","2025-11-19T10:27:29.532983Z","NEGATIVE","Everything is just so annoying and irritating today."
"demo-user","2025-11-20T10:27:29.532983Z","NEGATIVE","I feel like a total failure. I couldn't get anything productive done."
"demo-user","2025-11-21T10:27:29.532983Z","POSITIVE","""I rerolled the code and it is working now , happy to make some progress"""
"demo-user","2025-11-22T10:27:29.532983Z","POSITIVE","I am happy to have finished my project"
"demo-user","2025-11-23T10:27:29.532983Z","CRITICAL","I want to kill myself"
"demo-user","2025-11-24T10:27:29.532983Z","CRITICAL","I want to kill myself"
"demo-user","2025-11-25T10:27:29.532983Z","POSITIVE","The day went well today after I finished studying for the exam"
"demo-user","2025-11-26T10:27:29.532983Z","POSITIVE","I have completed preparing for tomorrow's test and i am feel confident"
"demo-user","2025-11-27T10:27:29.532983Z","NEGATIVE","""Nothing seems to be going right today, it's very frustrating."""
"demo-user","2025-11-28T10:27:29.532983Z","POSITIVE","I have prepared for exams and i feel confident"
"demo-user","2025-11-29T10:27:29.532983Z","CRITICAL","i feel hopeless and want kill myself"
"demo-user","2025-11-30T10:27:29.532983Z","NEGATIVE","""I feel really down and sad, and I'm not even sure why."""